step,type,txn_val,nameOrig,old_bal,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
154,PAYMENT,59531.1,C1842245528,14089.84,0.0,M1397461092,0.0,0.0,0
280,PAYMENT,498.58,C1596240999,0.0,0.0,M2000728377,0.0,0.0,0
253,PAYMENT,3645.73,C499084371,0.0,0.0,M2038676348,0.0,0.0,0
20,TRANSFER,620587.36,C527121410,0.0,0.0,C1351115755,1152392.76,1589954.17,0
350,PAYMENT,1294.83,C1592315590,0.0,0.0,M238502720,0.0,0.0,0
431,PAYMENT,1090.53,C1223700231,34815.0,33724.47,M280407292,0.0,0.0,0
297,TRANSFER,628302.04,C1548427609,10822.0,0.0,C1039401817,0.0,628302.04,0
157,PAYMENT,22568.34,C121673706,176429.56,153861.22,M465797053,0.0,0.0,0
145,PAYMENT,1957.81,C1906253970,90.0,0.0,M489353970,0.0,0.0,0
276,PAYMENT,8075.25,C1313758558,10041.22,1965.97,M962639355,0.0,0.0,0
162,PAYMENT,5929.29,C42312626,276329.72,270400.42,M1912998981,0.0,0.0,0
303,PAYMENT,15395.66,C963189208,0.0,0.0,M68565807,0.0,0.0,0
10,PAYMENT,258.55,C1362561820,317573.35,317314.8,M575205576,0.0,0.0,0
11,PAYMENT,11441.61,C1350030880,47651.0,36209.39,M1695213463,0.0,0.0,0
155,PAYMENT,166.91,C1991141405,10093.0,9926.09,M2075139564,0.0,0.0,0
282,TRANSFER,492822.46,C758975164,0.0,0.0,C1378233097,1052295.77,1545118.23,0
371,PAYMENT,51769.46,C904657322,10643.0,0.0,M481468850,0.0,0.0,0
161,PAYMENT,11453.59,C325311902,0.0,0.0,M725888020,0.0,0.0,0
157,PAYMENT,12431.61,C615984420,1934.0,0.0,M1832370665,0.0,0.0,0
166,PAYMENT,761.48,C977212251,0.0,0.0,M1416107091,0.0,0.0,0
190,PAYMENT,2541.55,C1564902645,10496.94,7955.39,M1895691230,0.0,0.0,0
297,PAYMENT,9698.49,C2070002745,52583.0,42884.51,M1411035807,0.0,0.0,0
573,PAYMENT,2706.27,C1332049776,93652.0,90945.73,M70000857,0.0,0.0,0
161,PAYMENT,31009.39,C1975067906,0.0,0.0,M882272147,0.0,0.0,0
350,PAYMENT,13507.86,C1873356357,116.0,0.0,M318934800,0.0,0.0,0
249,PAYMENT,7204.87,C1492365071,0.0,0.0,M72606899,0.0,0.0,0
278,PAYMENT,4224.1,C981606624,39790.0,35565.9,M537397999,0.0,0.0,0
13,PAYMENT,7925.85,C1928538947,0.0,0.0,M8336625,0.0,0.0,0
375,PAYMENT,9118.65,C1327273607,30028.0,20909.35,M2111824551,0.0,0.0,0
186,PAYMENT,6638.31,C1702795050,0.0,0.0,M320891926,0.0,0.0,0
350,TRANSFER,2028585.1,C871049945,200879.0,0.0,C402262184,0.0,2028585.1,0
300,TRANSFER,155304.73,C1813715779,50020.33,0.0,C1181681250,679687.96,834992.69,0
154,PAYMENT,582.31,C1799708023,0.0,0.0,M1753025523,0.0,0.0,0
331,PAYMENT,10643.61,C1425980682,25546.0,14902.39,M782997951,0.0,0.0,0
282,TRANSFER,242746.5,C1459471804,50375.0,0.0,C1262011052,24080.97,266827.47,0
186,PAYMENT,12467.43,C1804644264,50205.0,37737.57,M703180768,0.0,0.0,0
350,PAYMENT,30729.3,C581092628,28969.0,0.0,M727473563,0.0,0.0,0
140,PAYMENT,11600.89,C1033179241,11486.0,0.0,M741223780,0.0,0.0,0
396,PAYMENT,10692.93,C1354365880,0.0,0.0,M1241484709,0.0,0.0,0
401,PAYMENT,59782.45,C1994740718,163328.0,103545.55,M414554241,0.0,0.0,0
371,PAYMENT,10452.21,C1159397263,167.0,0.0,M1048655542,0.0,0.0,0
140,PAYMENT,32724.57,C41281472,0.0,0.0,M20923479,0.0,0.0,0
351,PAYMENT,614.61,C654007684,0.0,0.0,M944416080,0.0,0.0,0
48,PAYMENT,6345.94,C687205356,32780.0,26434.06,M1728022128,0.0,0.0,0
185,TRANSFER,273503.4,C362808071,0.0,0.0,C1047773674,344044.52,617547.92,0
182,PAYMENT,2588.54,C1173615080,41547.0,38958.46,M531725823,0.0,0.0,0
163,PAYMENT,3873.38,C1976238602,67229.66,63356.27,M510682926,0.0,0.0,0
253,PAYMENT,36862.87,C1607635931,341.0,0.0,M979933234,0.0,0.0,0
250,PAYMENT,6905.63,C498744194,20286.0,13380.37,M877647877,0.0,0.0,0
253,PAYMENT,8965.3,C343462036,11638.0,2672.7,M790244937,0.0,0.0,0
228,PAYMENT,1878.78,C347970069,104647.0,102768.22,M722510812,0.0,0.0,0
395,PAYMENT,6181.42,C567856792,37496.0,31314.58,M895431242,0.0,0.0,0
345,PAYMENT,22663.99,C1438120296,328.0,0.0,M813735378,0.0,0.0,0
408,PAYMENT,1432.93,C1367953979,115839.0,114406.07,M324342131,0.0,0.0,0
14,TRANSFER,1130873.56,C713164662,30423.0,0.0,C1283374857,512932.96,1558198.79,0
183,PAYMENT,1356.14,C585438732,0.0,0.0,M684850051,0.0,0.0,0
20,PAYMENT,36418.46,C1398270489,0.0,0.0,M4347320,0.0,0.0,0
44,TRANSFER,62846.46,C2140826890,11581.0,0.0,C1069968715,316433.99,379280.45,0
403,TRANSFER,840454.1,C1891624473,0.0,0.0,C1601205723,860972.32,1701426.43,0
379,PAYMENT,20751.36,C1909470620,253411.0,232659.64,M1682408611,0.0,0.0,0
321,TRANSFER,2120611.12,C1459123422,0.0,0.0,C549139955,6450489.1,8571100.23,0
21,PAYMENT,9031.59,C788347695,169913.0,160881.41,M818025487,0.0,0.0,0
404,TRANSFER,284181.35,C1572564959,18831.35,0.0,C369284896,712461.52,996642.87,0
299,PAYMENT,5151.1,C1634722951,0.0,0.0,M736920118,0.0,0.0,0
212,TRANSFER,4953893.08,C728984460,4953893.08,4953893.08,C639921569,0.0,0.0,1
165,PAYMENT,8881.23,C1466302771,52552.0,43670.77,M1484695868,0.0,0.0,0
131,TRANSFER,369241.59,C70208605,0.0,0.0,C2009093032,600144.07,969385.66,0
20,TRANSFER,1067740.33,C875553654,30318.0,0.0,C1190332895,706171.21,1773911.54,0
201,PAYMENT,13573.44,C1958989962,8030.95,0.0,M1458926839,0.0,0.0,0
137,PAYMENT,3427.74,C299881200,79271.0,75843.26,M166585974,0.0,0.0,0
38,PAYMENT,11116.3,C182949497,100283.0,89166.7,M264879465,0.0,0.0,0
548,PAYMENT,8647.59,C76280739,0.0,0.0,M731968202,0.0,0.0,0
261,PAYMENT,4218.59,C916536135,0.0,0.0,M479987559,0.0,0.0,0
370,PAYMENT,9341.45,C1533282587,356011.4,346669.95,M1902361050,0.0,0.0,0
180,PAYMENT,11314.01,C1485400045,4954.0,0.0,M1780037453,0.0,0.0,0
350,PAYMENT,28867.08,C1863138315,489432.62,460565.54,M122928567,0.0,0.0,0
306,PAYMENT,4001.69,C1505174831,0.0,0.0,M889368019,0.0,0.0,0
476,PAYMENT,1313.84,C1371482499,687.0,0.0,M677096722,0.0,0.0,0
95,PAYMENT,70.43,C661691277,179729.21,179658.77,M1056990134,0.0,0.0,0
588,PAYMENT,11375.07,C894234207,27674.97,16299.89,M2014963892,0.0,0.0,0
354,PAYMENT,15561.04,C671179936,0.0,0.0,M1341078498,0.0,0.0,0
255,PAYMENT,869.3,C1896972824,50636.0,49766.7,M142342905,0.0,0.0,0
205,TRANSFER,483817.09,C523286269,0.0,0.0,C2009082452,3613174.34,4096991.43,0
16,PAYMENT,16087.23,C1160035148,0.0,0.0,M341944859,0.0,0.0,0
129,PAYMENT,1850.67,C534811552,21308.0,19457.33,M1542222765,0.0,0.0,0
276,PAYMENT,6055.38,C270984175,169580.0,163524.62,M1348089788,0.0,0.0,0
179,TRANSFER,425051.28,C350778798,9674.0,0.0,C315161875,594186.02,1019237.31,0
16,PAYMENT,27683.67,C1062669905,0.0,0.0,M601174739,0.0,0.0,0
141,PAYMENT,13095.09,C1937977255,21452.0,8356.91,M1016860656,0.0,0.0,0
493,PAYMENT,35855.04,C184978226,198804.0,162948.96,M1901773897,0.0,0.0,0
325,PAYMENT,23661.48,C1268926862,0.0,0.0,M1726028995,0.0,0.0,0
322,TRANSFER,440777.12,C1642074775,69844.0,0.0,C1200754697,330515.95,771293.08,0
13,PAYMENT,8342.03,C1445108729,305000.28,296658.26,M304191532,0.0,0.0,0
299,PAYMENT,36155.19,C1292696100,0.0,0.0,M1512096412,0.0,0.0,0
19,PAYMENT,7473.63,C1625306007,0.0,0.0,M1853307520,0.0,0.0,0
156,PAYMENT,12355.58,C1674220591,0.0,0.0,M2032504797,0.0,0.0,0
287,PAYMENT,14868.76,C1805204516,0.0,0.0,M1449288962,0.0,0.0,0
7,PAYMENT,7456.1,C1901405112,21686.0,14229.9,M1327733366,0.0,0.0,0
253,TRANSFER,1592411.94,C1932307302,35584.0,0.0,C946186798,1992294.28,3584706.22,0
324,PAYMENT,1873.41,C1124340886,788346.41,786473.0,M195635213,0.0,0.0,0
262,PAYMENT,2612.71,C395334853,52527.0,49914.29,M847653440,0.0,0.0,0
134,PAYMENT,4786.4,C1871486543,0.0,0.0,M76826899,0.0,0.0,0
372,PAYMENT,7033.48,C511079042,1633.0,0.0,M33416945,0.0,0.0,0
303,PAYMENT,2880.96,C492145062,76961.3,74080.34,M1974943259,0.0,0.0,0
371,TRANSFER,772296.58,C1641518900,0.0,0.0,C620902860,2077733.67,2850030.25,0
300,PAYMENT,27302.87,C1448383087,0.0,0.0,M1468475221,0.0,0.0,0
239,PAYMENT,4850.59,C401849338,225172.0,220321.41,M1552518432,0.0,0.0,0
309,PAYMENT,19240.1,C1752155530,0.0,0.0,M260804472,0.0,0.0,0
684,PAYMENT,5183.37,C1652492723,15603.39,10420.02,M2110507332,0.0,0.0,0
397,PAYMENT,9574.23,C812087967,729389.0,719814.77,M1525865742,0.0,0.0,0
36,TRANSFER,323378.71,C1453638924,0.0,0.0,C541258645,501739.31,825118.03,0
180,PAYMENT,6817.78,C788384452,47190.0,40372.22,M1794508515,0.0,0.0,0
133,PAYMENT,3905.28,C313716075,68678.0,64772.72,M284183932,0.0,0.0,0
96,PAYMENT,19.39,C145038503,15848.0,15828.61,M436090088,0.0,0.0,0
474,PAYMENT,11300.35,C511771034,74593.0,63292.65,M309983713,0.0,0.0,0
399,PAYMENT,4007.87,C1300892613,0.0,0.0,M513329048,0.0,0.0,0
308,PAYMENT,38293.5,C1269632250,0.0,0.0,M55629029,0.0,0.0,0
239,PAYMENT,18857.05,C1251364898,41038.93,22181.88,M506254328,0.0,0.0,0
141,TRANSFER,748775.62,C121817565,0.0,0.0,C1126814500,1179856.92,1928632.54,0
95,PAYMENT,6202.7,C196248895,0.0,0.0,M980968102,0.0,0.0,0
134,PAYMENT,62387.08,C1020073805,175800.08,113413.0,M1697723026,0.0,0.0,0
144,PAYMENT,706.61,C515240582,743.0,36.39,M1840316250,0.0,0.0,0
204,PAYMENT,18482.64,C1788614688,31031.45,12548.81,M1919208957,0.0,0.0,0
237,PAYMENT,3101.25,C1834494460,30174.0,27072.75,M341475077,0.0,0.0,0
323,PAYMENT,37228.77,C445652269,0.0,0.0,M921297051,0.0,0.0,0
352,PAYMENT,8717.41,C903082377,0.0,0.0,M197479812,0.0,0.0,0
353,PAYMENT,2629.58,C1294900585,284256.96,281627.39,M302528498,0.0,0.0,0
382,PAYMENT,10968.61,C167833503,305647.0,294678.39,M1629240136,0.0,0.0,0
138,PAYMENT,21527.33,C59366354,263309.0,241781.67,M1254241532,0.0,0.0,0
397,PAYMENT,661.74,C1087394387,0.0,0.0,M614412510,0.0,0.0,0
46,PAYMENT,3393.98,C200496008,600120.0,596726.02,M582886129,0.0,0.0,0
301,TRANSFER,491753.69,C50169804,0.0,0.0,C387620559,741949.97,1233703.66,0
254,PAYMENT,8519.1,C688981659,208.43,0.0,M1251497592,0.0,0.0,0
235,TRANSFER,1133029.24,C665779203,281.0,0.0,C1142488685,308085.64,1441114.88,0
302,PAYMENT,20498.36,C1191553018,138553.0,118054.64,M358490766,0.0,0.0,0
307,PAYMENT,55134.86,C41511043,0.0,0.0,M120528091,0.0,0.0,0
404,PAYMENT,10476.43,C19697526,62955.0,52478.57,M1875174082,0.0,0.0,0
276,PAYMENT,18530.85,C67394878,29882.0,11351.15,M1947352977,0.0,0.0,0
346,PAYMENT,23469.11,C668120831,70111.0,46641.89,M1586976811,0.0,0.0,0
21,PAYMENT,20216.67,C985998797,50996.0,30779.33,M1720731478,0.0,0.0,0
10,PAYMENT,1525.11,C307914892,0.0,0.0,M1583480606,0.0,0.0,0
380,PAYMENT,5816.3,C380101107,5278.0,0.0,M989897532,0.0,0.0,0
8,TRANSFER,1373723.96,C168299926,0.0,0.0,C1554565380,4691193.74,6064917.71,0
300,PAYMENT,32690.06,C1092982137,415.0,0.0,M1937389829,0.0,0.0,0
226,PAYMENT,15855.27,C883754077,26974.0,11118.73,M753756804,0.0,0.0,0
321,PAYMENT,52284.56,C1669206046,0.0,0.0,M532832544,0.0,0.0,0
140,PAYMENT,7920.52,C773890759,43558.0,35637.48,M2011283784,0.0,0.0,0
10,PAYMENT,78.23,C1142296372,276323.66,276245.44,M817298798,0.0,0.0,0
34,PAYMENT,27389.93,C457666452,38640.37,11250.44,M242468230,0.0,0.0,0
203,PAYMENT,5138.4,C83729894,0.0,0.0,M534433075,0.0,0.0,0
178,PAYMENT,4572.73,C957819774,0.0,0.0,M1720336056,0.0,0.0,0
378,PAYMENT,18371.13,C1872437296,18661.79,290.67,M2135168858,0.0,0.0,0
371,PAYMENT,35007.71,C1539574479,0.0,0.0,M83704613,0.0,0.0,0
210,PAYMENT,7887.18,C278763950,70409.0,62521.82,M441200211,0.0,0.0,0
13,PAYMENT,8434.58,C642273110,0.0,0.0,M1552301249,0.0,0.0,0
276,TRANSFER,1302374.57,C60259605,28372.0,0.0,C1629738129,5755.0,1308129.57,0
281,PAYMENT,18175.04,C392841400,0.0,0.0,M1791047024,0.0,0.0,0
