step,type,txn_val,nameOrig,old_bal,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
231,CASH_OUT,31058.09,C2104696620,0.0,0.0,C427112543,3178547.71,3209605.8,0,0
156,CASH_OUT,193342.47,C39465429,0.0,0.0,C411075855,394290.66,587633.12,0,0
365,CASH_OUT,86258.11,C2116603253,86258.11,0.0,C1764741760,71277.81,157535.92,1,0
702,CASH_OUT,240746.27,C863413785,240746.27,0.0,C1064040919,1399139.68,1639885.95,1,0
204,TRANSFER,98926.96,C390364476,25705.0,0.0,C488275270,2449786.44,2349799.93,0,0
36,CASH_OUT,135778.79,C996413937,23934.0,0.0,C1584788579,1552419.97,1688198.77,0,0
247,CASH_OUT,76646.05,C1873858924,76646.05,0.0,C587506100,0.0,76646.05,1,0
409,TRANSFER,3260215.75,C1523193770,3260215.75,0.0,C670256021,0.0,0.0,1,0
440,CASH_OUT,10000000.0,C731792064,10000000.0,0.0,C1744886336,285336.96,10285336.96,1,0
175,CASH_OUT,319208.14,C892428215,319208.14,0.0,C1209378395,1905620.3,2224828.44,1,0
348,TRANSFER,291264.2,C189611887,291264.2,0.0,C876551475,0.0,0.0,1,0
704,CASH_OUT,158788.32,C1323122307,158788.32,0.0,C171435126,4995950.14,5154738.46,1,0
276,CASH_OUT,92458.26,C295987587,0.0,0.0,C1998923191,2890155.77,2982614.03,0,0
31,TRANSFER,335219.49,C1775717184,335219.49,0.0,C1987320319,0.0,0.0,1,0
130,CASH_OUT,44610.91,C608189658,203343.0,158732.09,C1185390333,5930.18,50541.09,0,0
578,CASH_OUT,68755.57,C1983934079,68755.57,0.0,C328707077,1555552.28,1624307.85,1,0
154,CASH_OUT,156879.63,C1621909624,0.0,0.0,C1911160625,13917498.6,14323422.93,0,0
363,CASH_OUT,2115503.99,C429080055,2115503.99,0.0,C1734499928,0.0,2115503.99,1,0
199,CASH_OUT,80885.48,C2065836466,80885.48,0.0,C582821182,756653.51,837538.99,1,0
467,TRANSFER,171623.1,C1057975418,171623.1,0.0,C864888723,0.0,0.0,1,0
406,TRANSFER,669627.43,C1357770570,669627.43,0.0,C1491918880,0.0,0.0,1,0
402,TRANSFER,676271.0,C1203014115,0.0,0.0,C7042892,1620142.97,2296413.97,0,0
676,CASH_OUT,3542716.02,C488587409,3542716.02,0.0,C1867928839,4746.62,3547462.65,1,0
106,TRANSFER,219489.62,C1817254692,219489.62,0.0,C584837450,0.0,0.0,1,0
71,TRANSFER,479892.04,C949573914,479892.04,0.0,C346346824,0.0,0.0,1,0
440,CASH_OUT,10000000.0,C220809630,10000000.0,0.0,C1161159002,253512.69,10253512.69,1,0
200,CASH_OUT,5393290.34,C9591597,5393290.34,0.0,C686224839,838712.9,6232003.24,1,0
542,CASH_OUT,1068398.61,C755809826,1068398.61,0.0,C411670460,0.0,1068398.61,1,0
626,TRANSFER,44577.32,C2086578644,44577.32,0.0,C811242646,0.0,0.0,1,0
404,TRANSFER,4255588.48,C1500313576,0.0,0.0,C1622613255,4563511.89,8819100.38,0,0
635,CASH_OUT,13128.49,C276282396,13128.49,0.0,C1882040140,293704.01,306832.5,1,0
34,TRANSFER,989311.12,C2035691205,989311.12,0.0,C2145664965,0.0,0.0,1,0
178,CASH_OUT,85747.72,C1989602821,21050.0,0.0,C2115918472,0.0,85747.72,0,0
720,CASH_OUT,57040.65,C839142171,57040.65,0.0,C1341565577,0.0,57040.65,1,0
52,CASH_OUT,128426.58,C742996578,128426.58,0.0,C11731793,0.0,128426.58,1,0
412,TRANSFER,571163.03,C250523545,571163.03,0.0,C1652699189,0.0,0.0,1,0
596,TRANSFER,136414.39,C1467271955,0.0,0.0,C1749131159,188840.5,325254.89,0,0
164,CASH_OUT,186097.98,C890741621,0.0,0.0,C1509130568,325876.37,511974.35,0,0
327,CASH_OUT,175120.46,C129913775,108916.0,0.0,C740127760,5316031.86,5491152.32,0,0
352,CASH_OUT,194064.55,C1258764699,0.0,0.0,C1285313809,1482531.38,6200490.36,0,0
277,CASH_OUT,165071.73,C1100593321,19801.0,0.0,C587223907,4010773.37,4175845.11,0,0
212,CASH_OUT,927620.44,C36961525,927620.44,0.0,C1313128046,0.0,927620.44,1,0
704,CASH_OUT,1722892.9,C664688196,1722892.9,0.0,C14014864,91562.28,1814455.18,1,0
647,CASH_OUT,2253811.33,C1631859649,2253811.33,0.0,C526945673,0.0,2253811.33,1,0
692,CASH_OUT,3785.74,C116503434,61920.0,58134.26,C61015109,1180719.96,1184505.7,0,0
339,TRANSFER,1532281.61,C1947091405,1532281.61,0.0,C829302750,0.0,0.0,1,0
204,CASH_OUT,11407.41,C1829564694,145960.0,134552.59,C1901883363,4028220.39,4039627.8,0,0
501,TRANSFER,8020192.15,C1191681942,8020192.15,0.0,C916997353,0.0,0.0,1,0
17,TRANSFER,151769.58,C2088952986,0.0,0.0,C1543659240,4051694.51,4203464.09,0,0
451,CASH_OUT,475693.24,C23091724,475693.24,0.0,C798547691,28808.22,504501.46,1,0
235,CASH_OUT,181667.9,C1640144831,2049.0,0.0,C426213658,934948.11,1116616.0,0,0
19,TRANSFER,601436.5,C895615212,166.0,0.0,C1720032495,426154.16,924484.5,0,0
234,TRANSFER,1722114.87,C797565932,13837.0,0.0,C295522134,90082.34,1812197.21,0,0
353,CASH_OUT,211592.52,C246278794,910.0,0.0,C334631859,168733.19,380325.71,0,0
58,TRANSFER,246938.77,C1588962215,246938.77,0.0,C1667993735,0.0,0.0,1,0
36,TRANSFER,456225.58,C598292891,0.0,0.0,C1958123535,1081196.84,1537422.42,0,0
322,CASH_OUT,151411.87,C983289440,0.0,0.0,C1849962570,1894249.8,2045661.67,0,0
163,CASH_OUT,83276.61,C87797433,33187.0,0.0,C934530338,0.0,83276.61,0,0
247,CASH_OUT,2025628.87,C1840157167,2025628.87,0.0,C760531323,914254.52,2939883.39,1,0
404,TRANSFER,540914.12,C935920556,540914.12,0.0,C332143191,0.0,0.0,1,0
650,TRANSFER,230652.43,C1117030253,230652.43,0.0,C1682998072,0.0,0.0,1,0
158,CASH_OUT,65215.65,C537122028,2064.0,0.0,C602205415,990213.53,1990863.57,0,0
400,TRANSFER,343295.88,C2069961640,0.0,0.0,C1097370782,348241.44,691537.32,0,0
501,TRANSFER,9301213.46,C149938639,9301213.46,0.0,C1918368485,0.0,0.0,1,0
557,TRANSFER,74709.4,C171758172,74709.4,0.0,C1650736473,0.0,0.0,1,0
398,TRANSFER,9725837.08,C2078773097,9725837.08,0.0,C775810552,0.0,0.0,1,0
468,TRANSFER,652782.54,C851249845,652782.54,0.0,C2109638287,0.0,0.0,1,0
192,CASH_OUT,239461.78,C873372414,0.0,0.0,C1013802349,456277.41,695739.19,0,0
357,TRANSFER,10000000.0,C393177637,10653151.55,653151.55,C106531078,0.0,0.0,1,0
356,CASH_OUT,273718.13,C455116041,50078.0,0.0,C1830441668,4327185.56,4600903.69,0,0
710,TRANSFER,7418265.31,C1908904298,7418265.31,0.0,C646426738,0.0,0.0,1,0
237,TRANSFER,106681.18,C1867725412,106681.18,0.0,C1721123113,0.0,0.0,1,0
357,TRANSFER,251199.91,C482850122,251199.91,0.0,C1683790241,0.0,0.0,1,0
25,TRANSFER,296333.54,C1473328942,296333.54,0.0,C1650053869,0.0,0.0,1,0
401,TRANSFER,206207.34,C1107468605,0.0,0.0,C1543901598,1065369.82,1271577.16,0,0
354,TRANSFER,81847.74,C29349137,0.0,0.0,C1954754535,5349512.37,5431360.11,0,0
676,CASH_OUT,5016884.33,C1525254623,5016884.33,0.0,C1911342883,3425450.21,8442334.54,1,0
464,TRANSFER,880975.83,C1991993954,880975.83,0.0,C1163515588,0.0,0.0,1,0
212,TRANSFER,732524.91,C1087456584,19347.0,0.0,C247181868,262647.85,995172.76,0,0
280,CASH_OUT,641.11,C1064420382,203005.0,202363.89,C1774470826,1213539.57,1214180.68,0,0
307,CASH_OUT,218897.44,C823342409,0.0,0.0,C2122381883,225103.53,444000.97,0,0
373,TRANSFER,4294676.05,C975117365,4294676.05,0.0,C1981314185,0.0,0.0,1,0
210,TRANSFER,153065.3,C1979900809,0.0,0.0,C1336715003,1826015.56,1979080.87,0,0
436,TRANSFER,539658.73,C1496866222,539658.73,0.0,C2010123268,0.0,0.0,1,0
522,TRANSFER,101408.84,C411677025,101408.84,0.0,C1526938808,0.0,0.0,1,0
341,TRANSFER,414394.38,C934172571,414394.38,0.0,C97161291,0.0,0.0,1,0
201,CASH_OUT,438508.32,C1708647844,0.0,0.0,C2106085964,662413.77,1100922.1,0,0
35,CASH_OUT,103663.12,C343534311,0.0,0.0,C684399107,601851.36,331179.02,0,0
415,TRANSFER,224230.16,C1765991027,224230.16,0.0,C791615814,0.0,0.0,1,0
352,CASH_OUT,84208.31,C1190822086,0.0,0.0,C2017222144,126099.01,210307.32,0,0
203,CASH_OUT,129171.39,C96763283,0.0,0.0,C1878266978,4447919.81,4577091.2,0,0
280,CASH_OUT,117394.61,C348876049,1040.0,0.0,C987993391,421189.71,538584.32,0,0
502,TRANSFER,66066.73,C1980530073,66066.73,0.0,C1685608858,0.0,0.0,1,0
284,CASH_OUT,8811.2,C1935115434,0.0,0.0,C854484814,1119954.81,1128766.0,0,0
625,TRANSFER,58924.16,C475096619,58924.16,0.0,C1365777468,0.0,0.0,1,0
406,TRANSFER,126192.63,C1857315349,126192.63,0.0,C1301744071,0.0,0.0,1,0
403,TRANSFER,316980.06,C1107686545,2505.5,0.0,C714821642,939824.47,1256804.52,0,0
178,TRANSFER,1045888.67,C1799171698,10585.0,0.0,C70427659,117334.55,1163223.22,0,0
255,CASH_OUT,166844.93,C1394702978,20591.0,0.0,C69915565,0.0,166844.93,0,0
106,CASH_OUT,219489.62,C1029645120,219489.62,0.0,C1349213118,0.0,219489.62,1,0
211,CASH_OUT,157137.97,C860207877,157137.97,0.0,C792885931,3163298.04,3320436.01,1,0
40,CASH_OUT,105855.66,C1022725631,14644.0,0.0,C411950866,48452.42,95356.71,0,0
42,CASH_OUT,333868.69,C1964331611,0.0,0.0,C95685469,2263227.66,2597096.35,0,0
119,TRANSFER,1082718.08,C645925104,1082718.08,0.0,C916906045,0.0,0.0,1,0
137,TRANSFER,902639.21,C337892927,2569.0,0.0,C705629373,0.0,902639.21,0,0
346,CASH_OUT,147887.37,C646636630,0.0,0.0,C1121491848,249973.46,397860.83,0,0
526,CASH_OUT,200008.33,C1319949415,200008.33,0.0,C1382326459,2959887.83,3159896.16,1,0
26,TRANSFER,331829.94,C1549516546,331829.94,0.0,C1908627867,0.0,0.0,1,0
380,CASH_OUT,196232.37,C193978558,42047.73,0.0,C633869635,375924.97,572157.35,0,0
156,CASH_OUT,317017.33,C362514295,49761.0,0.0,C397219396,2367145.92,2684163.25,0,0
186,TRANSFER,114118.76,C49494472,0.0,0.0,C1081413890,506451.7,620570.46,0,0
139,CASH_OUT,16888.76,C342872863,393.0,0.0,C337920979,145058.55,161947.31,0,0
183,TRANSFER,355909.21,C1946400298,355909.21,0.0,C1340648788,0.0,0.0,1,0
278,CASH_OUT,548427.88,C615536702,0.0,0.0,C841575592,568769.54,1117197.42,0,0
34,CASH_OUT,10528.17,C957964550,0.0,0.0,C1951883451,1057094.75,1413681.99,0,0
198,CASH_OUT,18471.55,C680864117,18471.55,0.0,C2041586842,0.0,18471.55,1,0
251,CASH_OUT,8276235.5,C1880773458,8276235.5,0.0,C2102473649,190006.69,8466242.19,1,0
226,TRANSFER,5772.0,C1881699309,5772.0,0.0,C1419251036,0.0,0.0,1,0
16,CASH_OUT,31074.0,C2073757635,31074.0,0.0,C1899325653,0.0,31074.0,1,0
522,CASH_OUT,258819.53,C2132418879,93574.92,0.0,C1441687235,275339.98,534159.5,0,0
668,CASH_OUT,7539165.76,C937983122,7539165.76,0.0,C2117385631,63054.95,7602220.71,1,0
603,CASH_OUT,39247.74,C1684585857,39247.74,0.0,C2029518292,3972842.93,4012090.67,1,0
680,CASH_OUT,2651994.1,C1963804586,2651994.1,0.0,C621396903,0.0,2651994.1,1,0
135,CASH_OUT,100273.13,C1967330006,252837.05,152563.91,C1549467220,755301.26,855574.4,0,0
362,CASH_OUT,60450.18,C1506215501,60450.18,0.0,C2011327946,1696767.08,1757217.26,1,0
594,TRANSFER,389250.9,C1292366795,389250.9,0.0,C1609670189,0.0,0.0,1,0
136,CASH_OUT,244910.42,C1089832732,0.0,0.0,C786033218,438363.79,683274.22,0,0
495,TRANSFER,296940.32,C136928681,296940.32,0.0,C689814483,0.0,0.0,1,0
621,CASH_OUT,2060748.45,C373547831,2060748.45,0.0,C674126577,0.0,2060748.45,1,0
613,TRANSFER,1005365.24,C240430551,1005365.24,0.0,C541074037,0.0,0.0,1,0
474,CASH_OUT,1165171.47,C1827869035,1165171.47,0.0,C372062896,371852.42,1537023.88,1,0
373,CASH_OUT,223300.93,C518034091,47608.0,0.0,C501585948,1212499.82,1435800.76,0,0
30,CASH_OUT,236947.25,C474899128,236947.25,0.0,C116505755,70084.28,307031.53,1,0
646,TRANSFER,10000000.0,C24775045,20399045.08,10399045.08,C494244936,0.0,0.0,1,0
118,CASH_OUT,50845.13,C835169130,50845.13,0.0,C574444599,2739530.31,2790375.44,1,0
300,CASH_OUT,271918.76,C1766122702,0.0,0.0,C998511768,298261.23,570180.0,0,0
235,CASH_OUT,4814.69,C752353094,4814.69,0.0,C1794146784,0.0,4814.69,1,0
251,TRANSFER,906248.27,C553209547,64016.0,0.0,C2028912922,0.0,906248.27,0,0
592,CASH_OUT,46746.51,C635592726,302781.0,256034.49,C1539664912,36555.23,83301.74,0,0
300,CASH_OUT,794421.26,C1732604973,794421.26,0.0,C611099542,23123.74,817545.0,1,0
161,CASH_OUT,173873.64,C253674184,2024.24,0.0,C1034228288,290799.75,542791.05,0,0
399,CASH_OUT,40249.1,C2033426239,20690.0,0.0,C1114818144,0.0,40249.1,0,0
308,CASH_OUT,177515.2,C1466721740,0.0,0.0,C1761906628,729728.01,907243.2,0,0
184,CASH_OUT,234245.51,C891201101,12050.91,0.0,C1331132296,1103654.06,1337899.57,0,0
42,CASH_OUT,206726.3,C1312902327,0.0,0.0,C18912237,764689.58,971415.88,0,0
75,TRANSFER,460436.43,C1935083121,460436.43,0.0,C83154619,0.0,0.0,1,0
22,TRANSFER,37100.29,C362085592,37100.29,0.0,C1652057111,0.0,0.0,1,0
678,TRANSFER,749316.7,C965198261,749316.7,0.0,C636887341,0.0,0.0,1,0
743,TRANSFER,339682.13,C2013999242,339682.13,0.0,C1850423904,0.0,0.0,1,0
13,TRANSFER,48375.02,C920803432,48375.02,0.0,C1767389067,0.0,0.0,1,0
539,TRANSFER,79594.91,C1091619735,79594.91,0.0,C93455814,0.0,0.0,1,0
738,TRANSFER,114490.39,C983453370,114490.39,0.0,C1060799549,0.0,0.0,1,0
212,TRANSFER,927620.44,C533316597,927620.44,0.0,C762597253,0.0,0.0,1,0
310,CASH_OUT,221068.67,C1286086269,0.0,0.0,C1598110232,224707.92,445776.59,0,0
12,TRANSFER,3964129.99,C576568419,3964129.99,0.0,C1571546632,0.0,0.0,1,0
97,CASH_OUT,4454632.3,C933443756,4454632.3,0.0,C791106926,387523.26,4842155.56,1,0
419,CASH_OUT,129992.85,C1934726129,32642.0,0.0,C548148835,62695.89,192688.73,0,0
325,TRANSFER,976193.89,C374477213,331662.0,0.0,C376702526,0.0,976193.89,0,0
537,TRANSFER,34238.2,C1437366708,34238.2,0.0,C913630133,0.0,0.0,1,0
25,TRANSFER,802382.45,C127098115,802382.45,0.0,C1570699013,0.0,0.0,1,0
374,CASH_OUT,72333.73,C2018916869,0.0,0.0,C1143931060,123208.18,195541.91,0,0
261,CASH_OUT,252935.73,C343590402,0.0,0.0,C427673881,2076860.11,2329795.85,0,0
475,CASH_OUT,71511.19,C743231238,71511.19,0.0,C488128368,0.0,71511.19,1,0
308,CASH_OUT,226195.68,C1992450537,0.0,0.0,C919417799,1131694.54,1357890.22,0,0
379,CASH_OUT,356314.94,C1957844629,20359.0,0.0,C1067601294,201748.0,558062.94,0,0
98,TRANSFER,2394623.8,C1201856349,2394623.8,0.0,C1778006925,0.0,0.0,1,0
163,CASH_OUT,42278.05,C390835616,22080.0,0.0,C198911229,363802.11,406080.16,0,0
201,CASH_OUT,118714.79,C1582274216,62849.0,0.0,C1230583314,11783587.5,11902302.29,0,0
615,CASH_OUT,56510.5,C177838089,56510.5,0.0,C2141549007,4455203.05,4511713.55,1,0
377,CASH_OUT,80117.69,C79464060,117074.0,36956.31,C628236876,0.0,80117.69,0,0
162,CASH_OUT,436906.22,C1360544029,436906.22,0.0,C687989506,77698.14,869573.55,1,0
17,CASH_OUT,95712.49,C1372900189,19551.0,0.0,C836609387,168311.7,264024.19,0,0
19,CASH_OUT,8605.47,C117140821,219.0,0.0,C1012183709,57718.27,555330.19,0,0
614,TRANSFER,4212682.84,C359671277,4212682.84,0.0,C1265391231,0.0,0.0,1,0
237,CASH_OUT,168798.03,C410139569,0.0,0.0,C2037238184,643884.74,812682.77,0,0
159,CASH_OUT,135719.3,C445500587,0.0,0.0,C1003815817,611137.83,746857.13,0,0
334,CASH_OUT,329678.49,C42062501,40398.0,0.0,C1193550024,1030453.72,1360132.21,0,0
276,TRANSFER,124696.98,C1384810347,124696.98,0.0,C1897996177,0.0,0.0,1,0
354,CASH_OUT,184959.34,C1456065540,167686.48,0.0,C1501848628,248575.44,433534.79,0,0
110,CASH_OUT,2145934.81,C787958197,2145934.81,0.0,C466866036,757371.57,2903306.38,1,0
85,TRANSFER,8924971.59,C406938681,8924971.59,0.0,C579440834,0.0,0.0,1,0
17,TRANSFER,1404322.04,C1479537851,6227.0,0.0,C796337225,0.0,1404322.04,0,0
166,CASH_OUT,253724.47,C1923550312,21943.0,0.0,C1166671647,120588.34,374312.81,0,0
577,CASH_OUT,763170.76,C1902876077,763170.76,0.0,C864236269,452739.47,1215910.23,1,0
718,CASH_OUT,9749042.95,C1139926828,9749042.95,0.0,C1698433621,213495.23,9962538.18,1,0
76,CASH_OUT,2066446.27,C725597637,2066446.27,0.0,C157857444,423086.94,2489533.21,1,0
59,CASH_OUT,192765.49,C1429774414,192765.49,0.0,C764672612,3252407.57,3445173.06,1,0
348,TRANSFER,1337107.44,C1174086702,0.0,0.0,C327446607,3998137.17,5335244.61,0,0
576,CASH_OUT,884821.37,C1865310403,884821.37,0.0,C1762365059,1628388.92,2513210.29,1,0
169,CASH_OUT,1179716.49,C1443300815,1179716.49,0.0,C1006926522,0.0,1179716.49,1,0
301,CASH_OUT,55755.73,C1090099919,54210.74,0.0,C1273904144,61316.03,117071.76,0,0
43,CASH_OUT,90817.33,C888690162,24880.0,0.0,C1301796646,0.0,90817.33,0,0
9,CASH_OUT,10693.2,C1498765768,0.0,0.0,C78626804,257929.52,405820.84,0,0
6,TRANSFER,33332.86,C2025652936,33332.86,0.0,C1662235713,0.0,0.0,1,0
353,TRANSFER,839008.91,C2024314550,839008.91,0.0,C510808127,0.0,0.0,1,0
357,CASH_OUT,93683.21,C1119295072,4614.0,0.0,C2123365084,397598.71,491281.92,0,0
644,CASH_OUT,4438931.81,C694579714,4438931.81,0.0,C672316377,20066.68,4458998.5,1,0
180,TRANSFER,43600.46,C1039111847,229210.32,185609.86,C637619103,2355452.12,2399052.59,0,0
387,TRANSFER,245970.86,C174478461,245970.86,0.0,C1779281480,0.0,0.0,1,0
262,TRANSFER,2914653.69,C767295910,2914653.69,0.0,C258732542,0.0,0.0,1,0
357,TRANSFER,74921.74,C1335541144,74921.74,0.0,C887702391,0.0,0.0,1,0
18,CASH_OUT,233478.15,C538646229,21483.0,0.0,C128832991,125055.39,358533.54,0,0
276,CASH_OUT,2646.59,C1676802945,0.0,0.0,C1717028399,145801.61,148448.2,0,0
138,TRANSFER,74325.4,C1583046373,551.0,0.0,C1155171182,482478.88,556804.29,0,0
395,CASH_OUT,449099.62,C1338345618,0.0,0.0,C1959542070,924126.85,1584019.95,0,0
680,CASH_OUT,442460.31,C528702862,442460.31,0.0,C1833040956,0.0,442460.31,1,0
570,CASH_OUT,3712.11,C437016354,3712.11,0.0,C1109457703,185441.34,189153.45,1,0
373,TRANSFER,152314.49,C1353978265,152314.49,0.0,C1142361265,0.0,0.0,1,0
274,CASH_OUT,379057.93,C1025414577,379057.93,0.0,C2113218952,79634.67,458692.6,1,0
140,CASH_OUT,43488.12,C1379356909,347645.0,304156.88,C565133563,0.0,43488.12,0,0
722,CASH_OUT,3071270.72,C1272560847,3071270.72,0.0,C116742531,153082.28,3224353.0,1,0
499,TRANSFER,43308.07,C1244562453,43308.07,0.0,C1559662408,0.0,0.0,1,0
357,CASH_OUT,10000000.0,C1879989290,10000000.0,0.0,C1527777046,637693.12,10637693.12,1,0
13,CASH_OUT,159948.85,C849433656,907269.78,747320.93,C1764760275,1241869.59,1577431.28,0,0
629,CASH_OUT,547672.2,C969404866,547672.2,0.0,C1342571272,241648.88,789321.08,1,0
121,TRANSFER,254440.83,C339904211,254440.83,0.0,C2120724538,0.0,0.0,1,0
282,TRANSFER,17428.0,C1472963046,17428.0,0.0,C269798129,0.0,0.0,1,0
208,TRANSFER,83630.82,C827925643,346022.18,262391.37,C1202543881,2745786.01,2829416.82,0,0
236,CASH_OUT,424431.59,C336132187,0.0,0.0,C653197388,540240.0,964671.59,0,0
44,CASH_OUT,639312.11,C457625341,0.0,0.0,C928873104,653399.14,1292711.25,0,0
80,CASH_OUT,972920.87,C427077444,972920.87,0.0,C1033887610,21030.1,993950.97,1,0
661,CASH_OUT,141152.38,C1325078344,9955.0,0.0,C121050126,11652.17,152804.55,0,0
592,TRANSFER,157272.13,C1567802675,157272.13,0.0,C537034924,0.0,0.0,1,0
164,CASH_OUT,122794.34,C816784592,2080.0,0.0,C884572905,60218.34,183012.68,0,0
235,CASH_OUT,226674.0,C694908149,0.0,0.0,C1956246963,1169260.87,1395934.87,0,0
251,TRANSFER,345425.57,C1397090856,345425.57,0.0,C2119085039,0.0,0.0,1,0
252,TRANSFER,76200.04,C376760344,76200.04,0.0,C1713255424,0.0,0.0,1,0
282,CASH_OUT,105412.44,C279803413,0.0,0.0,C2115715605,1123589.24,1229001.68,0,0
132,CASH_OUT,112924.64,C1785889206,0.0,0.0,C1912678120,2459211.84,2572136.48,0,0
537,CASH_OUT,340119.98,C1783169722,340119.98,0.0,C1911284764,3680505.2,4020625.18,1,0
202,CASH_OUT,105839.8,C1804087513,18994.0,0.0,C1486086080,1761011.17,1866850.97,0,0
153,CASH_OUT,93244.95,C949384952,0.0,0.0,C2011259577,186364.58,279609.53,0,0
400,TRANSFER,130278.99,C1190702691,130278.99,0.0,C2144739676,0.0,0.0,1,0
16,TRANSFER,2003709.97,C1471786366,0.0,0.0,C1490231626,2200323.37,4204033.35,0,0
37,CASH_OUT,157259.68,C772237136,0.0,0.0,C215128404,170678.37,327938.05,0,0
